Year,Act Name,,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2025/03/Chapter-1.pdf"",""Revised Edition of the Legislative Enactments Act (Chapter 1)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/roe2315.pdf"",""Registration of Electors (Chapter 2)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/aomf3423.pdf"",""Assignment of Ministers’ Functions (Chapter 3)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/ad6326.pdf"",""Administrative Districts (Chapter 6)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/mz7218.pdf"",""Maritime Zones (Chapter 7)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/coi8308.pdf"",""Commisions of Inquiry (Chapter 8)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/spcoi9504.pdf"",""Special Presidential Commissions of Inquiry (Chapter 9)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/un10216.pdf"",""United Nations (Chapter 10)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/i12234.pdf"",""Interpretation (Chapter 12)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/st13338.pdf"",""Short Titles (Numeration) (Chapter 13)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/sr14325.pdf"",""Statutory Reprints (Chapter 14)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/gg15400.pdf"",""Government Gazzette (Publication) (Chapter 15)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/lc16216.pdf"",""Law Commission (Chapter 16)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/pcp18343.pdf"",""Primary Courts’ Procedure (Chapter 18)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/crbmoj19566.pdf"",""Courts Records (Inspection by Minister of Justice) (Chapter 19)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/dovd20432.pdf"",""Destruction of Valueless Documents (Chapter 20)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/e21123.pdf"",""Evidence (Chapter 21)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/popd22310.pdf"",""Proof of Public Documents (Chapter 22)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/oaa23257.pdf"",""Oaths and Affirmations (Chapter 23)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/a24151.pdf"",""Affidavits (Chapter 24)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/pc25130.pdf"",""Penal Code (Chapter 25)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/ocutiol27475.pdf"",""Offences Commited Under the Influence of Liquor (Chapter 27)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/cp28283.pdf"",""Corporal Punishment (Chapter 28)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/poc29272.pdf"",""Prevention of Crimes (Chapter 29)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/cayp31310.pdf"",""Chidren and Young Persons (Chapter 31)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/caypp32522.pdf"",""Children and Young Persons (Harmful Publications) (Chapter 32)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/posd33370.pdf"",""Prevention of Social Disabilities (Chapter 33)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/poo34267.pdf"",""Probation of Offenders (Chapter 34)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/yos35435.pdf"",""Youthful Offenders (Training Schools) (Chapter 35)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/b36132.pdf"",""Bribary (Chapter 36)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/ow38242.pdf"",""Offensive Weapons (Chapter 38)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/ir39253.pdf"",""Informers Rewards (Chapter 39)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/iws40367.pdf"",""Intermeddlers with Suitors (Chapter 40)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/pp41261.pdf"",""Profane Publications (Chapter 41)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/b43155.pdf"",""Brothels (Chapter 43)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/v44158.pdf"",""Vagrants (Chapter 44)"")",,,
1980,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2024/03/hod45261.pdf"",""Houses of Detention (Chapter 45)"")",,,
